Average_SAT,Percent_White,Percent_Black,Percent_Asian
408,0.04,0.08,0.24
495,0.3,0.1,0.25
452.33,0.36,0.04,0.11
430,0.19,0.05,0.1
398,0.01,0.81,0.06
395.33,0.02,0.72,0.1
413.67,0.01,0.9,0.03
397,0.01,0.83,0.04
400.33,0.02,0.81,0.04
416,0.01,0.81,0.04
428.67,0.02,0.76,0.09
465.67,0.12,0.11,0.36
404.67,0.03,0.24,0.31
428.33,0.18,0.07,0.29
406,0.05,0.14,0.31
417.67,0.02,0.79,0.07
442,0.08,0.48,0.25
394.67,0.04,0.53,0.27
516.33,0.03,0.38,0.43
470,0.02,0.43,0.41
397.67,0.05,0.42,0.23
422.67,0.02,0.48,0.27
445,0.04,0.53,0.25
435.33,0.04,0.3,0.35
485.67,0.04,0.21,0.49
404,0.03,0.38,0.28
483.33,0.01,0.58,0.29
649,0.06,0.07,0.75
416.67,0.02,0.66,0.1
367.33,0.02,0.75,0.08
411.67,0.01,0.6,0.02
420.33,0.03,0.5,0.07
362,0.02,0.49,0.04
371.33,0.15,0.47,0.04
426.67,0.11,0.53,0.06
402.33,0.04,0.53,0.05
572,0.35,0.23,0.21
